Klaim;ATM - Pembelian Pulsa Telkomsel;7 Hk;1 Day;7 Hk;;;;
Klaim;ATM - Pembelian Pulsa Three;7 Hk;1 Day;7 Hk;;;;
Klaim;ATM - Pembelian Pulsa XL;7 Hk;1 Day;7 Hk;;;;
Klaim;ATM - Pembelian Token PLN;7 Hk;1 Day;7 Hk;;;;
Klaim;ATM - Penarikan ATM Bank Lain;14 Hk;1 Day;14 Hk;;;;
Klaim;ATM - Penarikan ATM Bank Lain > 75 hari;;1Day;;;;;
Klaim;ATM - Transfer ATM Bank Lain;14 Hk;1 Day;14 Hk;;;;
Klaim;ATM - Transfer Bank Lain > 75 hari;;1 Day;;;;;
Klaim;BSG QRIS - Klaim BI Fast;;30 Mins;;;;;
Klaim;BSG QRIS - Klaim Gagal Transaksi;90 Hari;1 Day;90 Hari;;;;
Klaim;BSG QRIS - Pembelian Data Telkomsel;7 Hk;1 Day;7 Hk;;;;
Klaim;BSG QRIS - Pembelian Pulsa Telkomsel;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGDebit / EDC - Pembayaran;30 Hk;1 Day;30 Hk;;;;
Klaim;BSGTouch - Pembayaran PBB;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembayaran Samsat;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembayaran Tagihan BPJS;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembayaran Tagihan Kartu Hallo;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembayaran Tagihan PDAM;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembayaran Tagihan PLN;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembayaran Tagihan PSTN;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembelian Pulsa Indosat;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembelian Pulsa Telkomsel;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembelian Pulsa Three;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembelian Pulsa XL;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Pembelian Token PLN;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Top Up BSGcash;7 Hk;1 Day;7 Hk;;;;
Klaim;BSGTouch - Transfer Antar Bank;14 Hk;1 Day;14 Hk;;;;
Klaim;Kasda - Gagal Pembayaran;7 Hk;1 Day;7 Hk;;;;
Klaim;Kasda - Gagal Transfer;14 Hk;1 Day;14 Hk;;;;
